------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <ibm.txt>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  P-value(KS) PROPORTION  STATISTICAL TEST 
------------------------------------------------------------------------------
 95   2   1   0   1   0   0   0   1   0  0.000000 *  0.000000 * 0.1200 *  Frequency
 42  16  15   9   7   3   4   2   2   0  0.000000 *  0.000000 * 0.8500 *  BlockFrequency
 95   0   3   0   0   1   0   1   0   0  0.000000 *  0.000000 * 0.1200 *  CumulativeSums
 95   1   1   1   1   0   1   0   0   0  0.000000 *  0.000000 * 0.1700 *  CumulativeSums
 14   8   7  12   8  12  12   4  12  11  0.474986    0.938915   0.9800    NonOverlappingTemplate
  7   5  10  11  11   7  10  19  11   9  0.171867    0.099442   0.9900    NonOverlappingTemplate
 11   5   6  11  14   9  17   8   8  11  0.224821    0.335554   0.9900    NonOverlappingTemplate
  6  10  10  14   1  11  12  13  11  12  0.153763    0.178933   0.9800    NonOverlappingTemplate
 11   9   9  12   7  11  11   8  12  10  0.978072    0.945572   0.9700    NonOverlappingTemplate
  7   9   6  12   6  10  12  12  15  11  0.534146    0.066677   0.9900    NonOverlappingTemplate
  6   9   9  13   9   5  14  12   8  15  0.334538    0.228549   0.9800    NonOverlappingTemplate
  4  12   6   7  14  13  11  11   9  13  0.334538    0.067451   1.0000    NonOverlappingTemplate
  9   9   8  10   9  16   5  16   9   9  0.304126    0.858271   0.9900    NonOverlappingTemplate
  7   6   5  13   8  10  14  16  12   9  0.213309    0.017845   1.0000    NonOverlappingTemplate
  5   8  10   8   7  18  10  16  10   8  0.102526    0.096161   1.0000    NonOverlappingTemplate
  2   6  12  12  13  13  11  11   7  13  0.181557    0.045853   1.0000    NonOverlappingTemplate
 11   6  10   7  14  11  14  10   9   8  0.699313    0.709211   0.9700    NonOverlappingTemplate
  9  10   9  11  11  10   8  19   5   8  0.224821    0.674402   0.9800    NonOverlappingTemplate
  3   9   8  11  13  13  15   8   8  12  0.275709    0.103579   1.0000    NonOverlappingTemplate
  6   6   6   9  10  14  19  12   8  10  0.080519    0.014657   1.0000    NonOverlappingTemplate
  6  11   7  14   9   9  13  16   4  11  0.181557    0.607040   0.9900    NonOverlappingTemplate
  5   3  13  13   9  11  12  17  11   6  0.058984    0.028926   1.0000    NonOverlappingTemplate
 38   6   9   7   6   9   4   7   6   8  0.000000 *  0.000000 * 0.8500 *  NonOverlappingTemplate
 24  17   8   6   5   8   5   8  11   8  0.000145    0.000046 * 0.9100 *  NonOverlappingTemplate
 16   9  16  13   6   5   7  10   8  10  0.137282    0.018528   0.9600 *  NonOverlappingTemplate
  9   8  12  13  13   9  11   8   4  13  0.554420    0.368959   0.9500 *  NonOverlappingTemplate
 23   4  10  12  10   8   6  10   9   8  0.005358    0.026272   0.9500 *  NonOverlappingTemplate
 10  11  12   6   9  12  11  14   8   7  0.779188    0.572270   0.9900    NonOverlappingTemplate
 24  17  10  13   7   6   7   6   6   4  0.000047 *  0.000001 * 0.9400 *  NonOverlappingTemplate
 24  12   4  11   8  13   9   7   5   7  0.000555    0.004070   0.8900 *  NonOverlappingTemplate
 15  10  14   8   9   6   9   8  11  10  0.657933    0.161362   0.9600 *  NonOverlappingTemplate
 11  19   8  12   4   7  12   5   8  14  0.030806    0.238038   0.9800    NonOverlappingTemplate
 23  11   8  10   6  10  15   5   6   6  0.001296    0.018296   0.9100 *  NonOverlappingTemplate
  9   9  11   6   7  13  16  11   6  12  0.401199    0.274768   0.9800    NonOverlappingTemplate
 13  11   9   6   9   6  10   6  17  13  0.224821    0.117520   0.9600 *  NonOverlappingTemplate
  5   7   8  11  16  15  16   4   7  11  0.032923    0.038166   0.9900    NonOverlappingTemplate
 18  10  12  11   8   9   8   9   6   9  0.383827    0.034844   0.9900    NonOverlappingTemplate
 12   5   8  10   9  13  13  18   6   6  0.096578    0.325649   0.9700    NonOverlappingTemplate
  6  10  15   9   8  13  11   7   9  12  0.637119    0.877449   1.0000    NonOverlappingTemplate
  6  11  11  10   9   9  10  11   5  18  0.275709    0.359108   0.9900    NonOverlappingTemplate
  7  12  10   9  11   5  17  11  11   7  0.350485    0.838740   0.9900    NonOverlappingTemplate
  9   7  11   9   7  12  15  12  10   8  0.759756    0.393438   1.0000    NonOverlappingTemplate
  7   6  13  15   7  10  14  11   5  12  0.249284    0.542416   1.0000    NonOverlappingTemplate
  7   8   7  11   9  12  15  14   8   9  0.595549    0.202206   1.0000    NonOverlappingTemplate
 28  15  11   7   3   6   7   9   7   7  0.000001 *  0.000009 * 0.9000 *  NonOverlappingTemplate
 13  10   9  11   9   8   9  14   9   8  0.924076    0.875797   0.9800    NonOverlappingTemplate
 19  10   7   8  14   3  10   9   9  11  0.062821    0.100753   0.9500 *  NonOverlappingTemplate
 10  17   9  11   8  13   7  10   8   7  0.474986    0.314115   0.9600 *  NonOverlappingTemplate
 12  12   8   5  11   5  10  12  14  11  0.494392    0.189021   0.9800    NonOverlappingTemplate
 18   8   7  15  11   4   8  10   8  11  0.096578    0.088860   0.9700    NonOverlappingTemplate
 15   9   7  10   9  12   9   4  12  13  0.437274    0.695505   0.9700    NonOverlappingTemplate
 14   5   9   6   7  15  12   9  15   8  0.181557    0.238984   0.9700    NonOverlappingTemplate
 12   6  10  12   7  11  10   9   9  14  0.816537    0.743565   0.9500 *  NonOverlappingTemplate
  8   3  10   6   8  10  17  12  13  13  0.108791    0.002753   0.9800    NonOverlappingTemplate
 15  12  10   7  11   5  12  10  12   6  0.455937    0.392361   0.9700    NonOverlappingTemplate
 14  12  10  11   6  10   7  10   7  13  0.699313    0.355949   0.9900    NonOverlappingTemplate
 13   5   8  10  12  13   6   4  20   9  0.015598    0.205171   0.9600 *  NonOverlappingTemplate
 12  17  11   7  13  11   9   6  10   4  0.181557    0.042037   0.9700    NonOverlappingTemplate
  9  10  11   2  10  10  15  11   8  14  0.262249    0.175187   0.9900    NonOverlappingTemplate
 12   7  11  11   6   9  11   9  10  14  0.834308    0.587189   0.9700    NonOverlappingTemplate
 10  15  13  11  11  11  11   4   7   7  0.419021    0.065343   0.9900    NonOverlappingTemplate
  8  11   6  14  11  14   6  15   5  10  0.213309    0.768457   0.9800    NonOverlappingTemplate
  6   3   9   8  12   9  14  18  11  10  0.075719    0.016781   0.9900    NonOverlappingTemplate
 12   6  10   7   3  10  14  11   5  22  0.001757    0.042640   0.9700    NonOverlappingTemplate
  9   8  12   7   5  11  13  11   8  16  0.401199    0.309283   0.9600 *  NonOverlappingTemplate
  6   8  11   7   8  11  11  14  12  12  0.739918    0.151987   0.9900    NonOverlappingTemplate
 17  10  10   9   9  15   5  10   4  11  0.129620    0.190815   0.9600 *  NonOverlappingTemplate
 13   5   6   7  11  12  14  10   9  13  0.437274    0.188791   0.9700    NonOverlappingTemplate
 14  12  14  10   9   5   6  15  12   3  0.075719    0.185965   0.9600 *  NonOverlappingTemplate
 12  14  11   9  10  10  12  10   7   5  0.739918    0.246157   0.9900    NonOverlappingTemplate
  9  15   8   7  11  11  11  13   8   7  0.699313    0.813153   0.9900    NonOverlappingTemplate
  5   9  11  11  10  16   4  12   9  13  0.249284    0.213173   1.0000    NonOverlappingTemplate
  9   6   6   8  11  10  14  15   9  12  0.494392    0.081031   1.0000    NonOverlappingTemplate
  6  10  12   8  12  11  12  11   9   9  0.935716    0.767993   1.0000    NonOverlappingTemplate
  6   9   9   7  14  10  12  13  10  10  0.779188    0.173046   0.9900    NonOverlappingTemplate
 10  15  12  10  10  10   9   8   7   9  0.883171    0.365432   0.9800    NonOverlappingTemplate
  6  12  14   6  12   7  15  12  10   6  0.275709    0.629388   0.9900    NonOverlappingTemplate
  4   7   5  13  14  11  13   8   8  17  0.062821    0.020173   0.9900    NonOverlappingTemplate
 10   3  11   9  11   9  14  11   8  14  0.437274    0.285323   1.0000    NonOverlappingTemplate
  5   7  10  10  16  10  14   8   7  13  0.289667    0.166856   1.0000    NonOverlappingTemplate
 11   7  10   5  12  14  11  15   7   8  0.401199    0.421782   0.9600 *  NonOverlappingTemplate
  6   7   7   3   9  19  15  11  16   7  0.004981    0.000263   0.9900    NonOverlappingTemplate
 11   5   9   7  12  11  14  13  10   8  0.637119    0.390486   0.9900    NonOverlappingTemplate
  3   5   9   7  10  12  17  14  11  12  0.071177    0.002403   1.0000    NonOverlappingTemplate
 13   8  11   7   5   9  14  11   9  13  0.574903    0.301492   0.9900    NonOverlappingTemplate
  6   7   7   9  10  10  25  18   4   4  0.000009 *  0.056362   1.0000    NonOverlappingTemplate
  7   2  10   9  15  16  11   9  10  11  0.129620    0.014034   1.0000    NonOverlappingTemplate
  7   4  13   4  14  10  14  12   9  13  0.137282    0.044072   1.0000    NonOverlappingTemplate
  6  10  11  10  19   6   9   9  10  10  0.236810    0.574056   1.0000    NonOverlappingTemplate
  3   5   7  12  15  12  14  10  10  12  0.137282    0.010581   1.0000    NonOverlappingTemplate
  4   6  11   7   9  10  14  14  13  12  0.289667    0.011307   1.0000    NonOverlappingTemplate
  5  10  12   4  14  15  10  13   6  11  0.153763    0.268002   0.9900    NonOverlappingTemplate
  5   2   8  10  10  11  17  16  10  11  0.035174    0.003444   0.9900    NonOverlappingTemplate
  4   6   9  10  15   9  12  20   8   7  0.020548    0.089912   1.0000    NonOverlappingTemplate
  9   7   4  10  14  12  10   6  13  15  0.236810    0.059266   0.9900    NonOverlappingTemplate
  5   3  14  12   9  11  12  17  11   6  0.055361    0.028926   1.0000    NonOverlappingTemplate
 35  21  10   4  10   5   4   5   5   1  0.000000 *  0.000000 * 0.8800 *  ApproximateEntropy
 19  16   9  12   9   9   9   7   8   2  0.016717    0.001734   0.9800    Serial
  8   7  10  17   7   8  12  12  12   7  0.383827    0.676133   0.9900    Serial


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 0.960150 for a
sample size = 100 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
